SurveyDateStamp	SurveyType	SurveyID	Reach_Name	Reach_ID	Cell_Size	Use	pctCoverage
20110302		IL_CS_MVR_20110302_CS_30703080_11B	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	84.25
20130131		IL_CS_MVR_20130131_CS_30663076_13A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	51.27
20130131		IL_CS_MVR_20130131_CS_30753085_13A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	40.63
20140905		IL_CS_MVR_20140905_CS_30793081_14A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	6.95
20210203		IL_CS_MVR_20210203_CS_30603070_21A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	13.53
20210203		IL_CS_MVR_20210203_CS_30703090_21A	Cal Sag Channel RM 307 - 308	IL_CS_MVR_5	10	1	72.05
20010206		IL_CS_MVR_20010206_CS_30303200_01A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	79.98
20040224		IL_CS_MVR_20040224_CS_30803090_04A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	86.68
20050208		IL_CS_MVR_20050208_CS_30743085_05A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	44.28
20050209		IL_CS_MVR_20050209_CS_30843095_05A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	45.64
20080206		IL_CS_MVR_20080206_CS_30703080_08A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	1.46
20080206		IL_CS_MVR_20080206_CS_30803090_08A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	84.35
20100217		IL_CS_MVR_20100217_CS_30703080_10A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	6.04
20100217		IL_CS_MVR_20100217_CS_30803090_10A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	82.14
20110302		IL_CS_MVR_20110302_CS_30703080_11B	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	1.45
20110302		IL_CS_MVR_20110302_CS_30803090_11A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	81.4
20130131		IL_CS_MVR_20130131_CS_30753085_13A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	46.7
20130205		IL_CS_MVR_20130205_CS_30853090_13A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	42.86
20140905		IL_CS_MVR_20140905_CS_30793081_14A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	14.62
20210203		IL_CS_MVR_20210203_CS_30703090_21A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	71.58
20210203		IL_CS_MVR_20210203_CS_30903110_21A	Cal Sag Channel RM 308 - 309	IL_CS_MVR_6	10	1	11.17
20010206		IL_CS_MVR_20010206_CS_30303200_01A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	83.4
20040223		IL_CS_MVR_20040223_CS_30903100_04A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	87.65
20050209		IL_CS_MVR_20050209_CS_30843095_05A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	45.29
20050209		IL_CS_MVR_20050209_CS_30963106_05A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	36.39
20080206		IL_CS_MVR_20080206_CS_30803090_08A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	2.17
20080206		IL_CS_MVR_20080206_CS_30903100_08A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	86.53
20100217		IL_CS_MVR_20100217_CS_30803090_10A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	6.54
20100217		IL_CS_MVR_20100217_CS_30903100_10A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	83.69
20110302		IL_CS_MVR_20110302_CS_30803090_11A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	2.34
20110308		IL_CS_MVR_20110308_CS_30903100_11A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	81.66
20130205		IL_CS_MVR_20130205_CS_30853090_13A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	1.19
20130205		IL_CS_MVR_20130205_CS_30903100_13A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	73.23
20210203		IL_CS_MVR_20210203_CS_30703090_21A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	19.74
20210203		IL_CS_MVR_20210203_CS_30903110_21A	Cal Sag Channel RM 309 - 310	IL_CS_MVR_7	10	1	74.47
20010206		IL_CS_MVR_20010206_CS_30303200_01A	Cal Sag Channel RM 310 - 311	IL_CS_MVR_8	10	1	84.26
20040127		IL_CS_MVR_20040127_CS_31003110_04A	Cal Sag Channel RM 310 - 311	IL_CS_MVR_8	10	1	90.95
20040127		IL_CS_MVR_20040127_CS_31103120_04A	Cal Sag Channel RM 310 - 311	IL_CS_MVR_8	10	1	1.07
